PT	257m	soap_bf16_state_fp32	8	complete	171.524	41.451	84.192	43.859	95520.3	17.989	21.391	5.465	1.029
PT	257m	soap_bf16_state_fp8	16	complete	258.383	37.930	77.894	140.627	63409.7	25.244	29.868	3.970	1.029
PT	257m	soap_bf16_state_fp8	1	complete	583.973	150.617	290.589	139.709	28056.1	8.940	10.131	3.970	1.029
PT	257m	soap_bf16_state_fp8	2	complete	374.068	80.483	148.443	141.388	43799.6	9.089	10.421	3.970	1.029
PT	257m	soap_bf16_state_fp8	4	complete	277.629	45.384	92.331	138.323	59014.1	11.538	12.908	3.970	1.029
PT	257m	soap_bf16_state_fp8	8	complete	268.760	41.084	83.760	142.130	60962.2	16.451	19.051	3.970	1.029
PT	257m	soap_fp8gemm_state_fp32	16	complete	155.575	45.991	64.055	43.475	105312.8	20.005	23.096	5.465	1.029
PT	257m	soap_fp8gemm_state_fp32	1	complete	1479.379	651.732	781.438	43.660	11075.0	8.887	9.488	5.465	1.029
PT	257m	soap_fp8gemm_state_fp32	2	complete	765.145	326.629	389.440	43.764	21413.2	9.452	10.375	5.465	1.029
PT	257m	soap_fp8gemm_state_fp32	4	complete	404.546	165.440	192.962	43.547	40499.8	11.121	12.256	5.465	1.029
PT	257m	soap_fp8gemm_state_fp32	8	complete	231.009	85.563	97.503	43.814	70923.9	14.428	16.278	5.465	1.029
PT	3p5b	adamw_bf16_state_fp32	1	complete	1746.256	473.287	1150.841	103.588	9382.4	68.437	79.534	27.841	13.921
PT	3p5b	adamw_bf16_state_fp8	1	complete	1772.584	476.964	1159.297	118.449	9243.0	47.708	50.212	7.613	13.921
PT	3p5b	adamw_fp8gemm_state_fp32	1	complete	4615.313	2058.773	2420.399	103.932	3549.9	68.438	71.538	27.841	13.921
PT	500m	adamw_bf16_state_fp32	16	complete	228.673	66.811	143.489	14.991	71648.0	36.669	41.259	3.956	1.978
PT	500m	adamw_bf16_state_fp32	1	complete	592.633	207.219	368.064	15.000	27646.1	10.790	11.425	3.956	1.978
PT	500m	adamw_bf16_state_fp32	2	complete	336.347	112.929	205.235	15.013	48713.0	12.661	13.808	3.956	1.978
PT	500m	adamw_bf16_state_fp32	4	complete	262.705	79.091	165.416	14.982	62366.6	16.366	17.952	3.956	1.978
PT	500m	adamw_bf16_state_fp32	8	complete	246.396	72.313	155.682	14.994	66494.7	23.787	25.472	3.956	1.978
PT	500m	adamw_bf16_state_fp8	16	complete	231.914	66.961	143.629	17.777	70646.9	33.817	38.032	1.082	1.978
PT	500m	adamw_bf16_state_fp8	1	complete	600.692	211.328	366.744	17.754	27275.2	7.974	8.504	1.082	1.978
PT	500m	adamw_bf16_state_fp8	2	complete	334.959	110.208	203.075	17.771	48913.5	9.864	10.496	1.082	1.978
PT	500m	adamw_bf16_state_fp8	4	complete	267.271	79.959	165.931	17.794	61301.0	13.536	15.133	1.082	1.978
PT	500m	adamw_bf16_state_fp8	8	complete	249.443	72.482	155.746	17.840	65682.2	20.980	22.244	1.082	1.978
PT	500m	adamw_fp8gemm_state_fp32	16	complete	199.451	66.241	114.907	15.048	82145.7	23.867	28.582	3.956	1.978
PT	500m	adamw_fp8gemm_state_fp32	1	complete	2033.980	938.434	1073.865	15.042	8055.1	9.534	10.412	3.956	1.978
PT	500m	adamw_fp8gemm_state_fp32	2	complete	1067.120	483.351	565.754	15.090	15353.5	10.436	11.341	3.956	1.978
PT	500m	adamw_fp8gemm_state_fp32	8	complete	283.545	125.508	138.759	15.083	57783.0	17.000	18.692	3.956	1.978
PT	500m	muon_bf16_state_fp32	16	complete	335.427	67.764	143.942	120.468	48845.2	35.215	41.259	2.493	1.978
PT	500m	muon_bf16_state_fp32	1	complete	701.851	210.422	366.705	121.227	23344.0	9.297	9.659	2.493	1.978
PT	500m	muon_bf16_state_fp32	2	complete	443.225	115.996	201.414	122.063	36965.5	11.189	12.233	2.493	1.978
PT	500m	muon_bf16_state_fp32	4	complete	372.986	80.760	167.545	121.370	43926.5	14.901	16.301	2.493	1.978
PT	500m	muon_bf16_state_fp32	8	complete	354.443	73.212	156.675	121.329	46224.7	22.312	25.472	2.493	1.978
PT	500m	muon_bf16_state_fp8	16	complete	436.237	68.079	144.294	220.714	37557.6	33.465	38.000	0.682	1.978
PT	500m	muon_bf16_state_fp8	1	complete	834.858	225.819	384.815	221.793	19625.0	7.790	9.955	0.682	1.978
PT	500m	muon_bf16_state_fp8	2	complete	539.796	112.002	203.088	221.175	30352.2	9.469	11.702	0.682	1.978
PT	500m	muon_bf16_state_fp8	4	complete	473.557	81.034	167.573	221.593	34597.7	13.125	14.277	0.682	1.978
PT	500m	muon_bf16_state_fp8	8	complete	450.193	72.780	155.808	218.380	36393.3	20.587	23.861	0.682	1.978
PT	500m	muon_fp8gemm_state_fp32	16	complete	305.243	66.965	115.057	120.082	53675.2	22.407	28.582	2.493	1.978
PT	500m	muon_fp8gemm_state_fp32	1	complete	2182.564	949.363	1100.416	120.484	7506.8	8.153	9.175	2.493	1.978
PT	500m	muon_fp8gemm_state_fp32	2	complete	1244.484	531.791	575.974	121.617	13166.0	8.952	9.752	2.493	1.978
PT	500m	muon_fp8gemm_state_fp32	4	complete	647.256	243.180	280.482	120.038	25313.0	11.149	12.973	2.493	1.978
